Region,Area,1,2,3,4
1,Urban,42.878,40.653,28.606,39.000
1,Rural,33.003,32.609,22.000,31.395
2,Urban,50.977,40.653,25.808,20.903
2,Rural,33.003,32.609,22.000,31.395
3,Urban,34.356,40.653,28.606,31.395
3,Rural,33.003,32.609,22.000,31.395
4,Urban,34.356,40.653,28.606,31.395
4,Rural,33.003,32.609,22.000,31.395
5,Urban,41.550,40.653,28.606,13.930
5,Rural,33.003,32.609,22.000,31.395
6,Urban,22.700,35.000,29.000,31.395
6,Rural,33.003,32.609,22.000,31.395
7,Urban,34.356,40.653,28.606,31.395
7,Rural,33.003,32.609,22.000,31.395
8,Urban,17.118,40.653,27.000,31.395
8,Rural,33.003,32.609,22.000,31.395
9,Urban,34.356,40.653,28.606,31.395
9,Rural,33.003,32.609,22.000,31.395
10,Urban,13.667,40.653,13.667,31.395
10,Rural,33.003,32.609,22.000,31.395
11,Urban,31.713,28.125,35.691,34.504
11,Rural,56.522,32.609,22.000,31.395
12,Urban,23.904,40.653,37.003,35.269
12,Rural,33.003,32.609,22.000,31.395
13,Urban,34.356,40.653,28.606,65.000
13,Rural,33.003,32.609,22.000,31.395
14,Urban,34.356,40.653,28.606,31.395
14,Rural,33.003,32.609,22.000,31.395
15,Urban,34.356,40.653,28.606,31.395
15,Rural,33.003,32.609,22.000,31.395
16,Urban,34.356,40.653,28.606,31.395
16,Rural,33.003,32.609,22.000,31.395
17,Urban,57.521,40.653,28.250,31.395
17,Rural,33.003,32.609,22.000,31.395
18,Urban,13.274,40.653,10.000,28.038
18,Rural,32.625,32.609,22.000,31.395
19,Urban,34.356,40.653,16.317,28.648
19,Rural,33.003,32.609,22.000,31.395
20,Urban,17.500,40.653,41.371,25.475
20,Rural,35.196,32.609,22.000,31.395
21,Urban,34.356,44.280,27.769,31.395
21,Rural,33.003,32.609,22.000,31.395
22,Urban,29.000,40.653,28.606,21.250
22,Rural,33.003,32.609,22.000,31.395
23,Urban,31.344,40.653,28.606,30.081
23,Rural,33.003,32.609,22.000,31.395
24,Urban,38.249,49.553,36.847,17.182
24,Rural,33.003,32.609,22.000,31.395
25,Urban,34.356,40.653,28.606,31.395
25,Rural,7.669,32.609,22.000,31.395
26,Urban,34.356,40.653,28.606,31.395
26,Rural,33.003,32.609,22.000,31.395
