Region,Area,Detached,Semi-detached,Appartment,High-rise
1,Urban,0.294,0.147,0.126,0.165
1,Rural,0.219,0.020,0.020,0.010
2,Urban,0.527,0.057,0.071,0.138
2,Rural,0.198,0.003,0.005,0.001
3,Urban,0.294,0.147,0.126,0.165
3,Rural,0.219,0.020,0.020,0.010
4,Urban,0.294,0.147,0.126,0.165
4,Rural,0.219,0.020,0.020,0.010
5,Urban,0.294,0.147,0.126,0.165
5,Rural,0.219,0.020,0.020,0.010
6,Urban,0.294,0.147,0.126,0.165
6,Rural,0.219,0.020,0.020,0.010
7,Urban,0.294,0.147,0.126,0.165
7,Rural,0.219,0.020,0.020,0.010
8,Urban,0.294,0.147,0.126,0.165
8,Rural,0.219,0.020,0.020,0.010
9,Urban,0.294,0.147,0.126,0.165
9,Rural,0.219,0.020,0.020,0.010
10,Urban,0.294,0.147,0.126,0.165
10,Rural,0.219,0.020,0.020,0.010
11,Urban,0.159,0.223,0.173,0.200
11,Rural,0.136,0.061,0.036,0.013
12,Urban,0.194,0.038,0.052,0.298
12,Rural,0.342,0.024,0.021,0.031
13,Urban,0.294,0.147,0.126,0.165
13,Rural,0.219,0.020,0.020,0.010
14,Urban,0.294,0.147,0.126,0.165
14,Rural,0.219,0.020,0.020,0.010
15,Urban,0.294,0.147,0.126,0.165
15,Rural,0.219,0.020,0.020,0.010
16,Urban,0.294,0.147,0.126,0.165
16,Rural,0.219,0.020,0.020,0.010
17,Urban,0.294,0.147,0.126,0.165
17,Rural,0.219,0.020,0.020,0.010
18,Urban,0.294,0.147,0.126,0.165
18,Rural,0.219,0.020,0.020,0.010
19,Urban,0.294,0.147,0.126,0.165
19,Rural,0.219,0.020,0.020,0.010
20,Urban,0.294,0.147,0.126,0.165
20,Rural,0.219,0.020,0.020,0.010
21,Urban,0.294,0.147,0.126,0.165
21,Rural,0.219,0.020,0.020,0.010
22,Urban,0.294,0.147,0.126,0.165
22,Rural,0.219,0.020,0.020,0.010
23,Urban,0.371,0.012,0.177,0.129
23,Rural,0.275,0.005,0.028,0.003
24,Urban,0.219,0.403,0.160,0.059
24,Rural,0.145,0.008,0.007,0.000
25,Urban,0.294,0.147,0.126,0.165
25,Rural,0.219,0.020,0.020,0.010
26,Urban,0.294,0.147,0.126,0.165
26,Rural,0.219,0.020,0.020,0.010
