,Offices,Retail+,Hotels+,Govt+
Steel,88.5,88.5,88.5,88.5
Concrete,809.9,809.9,809.9,809.9
Aluminium,4.7,4.7,4.7,4.7
Copper,3.3,3.3,3.3,3.3
Wood,11.0,11.0,11.0,11.0
Glass,4.9,4.9,4.9,4.9
Cement,0.0,0.0,0.0,0.0
