Year,Material,Offices,Retail+,Hotels+,Govt+
2020,Steel,104.7,71.2,80.0,86.9
2020,Concrete,851.8,771.4,723.2,934.6
2020,Aluminium,4.8,2.4,4.4,5.8
2020,Copper,3.9,2.3,3.5,3.4
2020,Wood,7.7,18.3,25.7,17.2
2020,Glass,5.3,4.3,3.6,9.6
2020,Cement,204.7,269.9,786.8,409.3
2020,Brick,379.5,465.8,357.9,387.8
2040,Steel,104.7,71.2,80.0,86.9
2040,Concrete,851.8,771.4,723.2,934.6
2040,Aluminium,4.8,2.4,4.4,5.8
2040,Copper,3.9,2.3,3.5,3.4
2040,Wood,7.7,18.3,25.7,17.2
2040,Glass,5.3,4.3,3.6,9.6
2040,Cement,204.7,269.9,786.8,409.3
2040,Brick,379.5,465.8,357.9,387.8
